iter	RMSE
0	1.464830976
1	1.422713331
2	1.380376421
3	1.340618899
4	1.304078651
5	1.269888618
6	1.236520375
7	1.203960068
8	1.170747602
9	1.141618503
10	1.116514563
11	1.091800311
12	1.07012762
13	1.052251689
14	1.028335732
15	1.00916178
16	0.9863303746
17	0.9661192647
18	0.9471953697
19	0.9277002744
20	0.9116606061
21	0.9004008578
22	0.8842209033
23	0.870939364
24	0.8561885291
25	0.8410444851
26	0.8302028583
27	0.8169315983
28	0.8044434534
29	0.7920247372
30	0.7831345696
31	0.7723076325
32	0.7632590902
33	0.7545191748
34	0.7454372566
35	0.7365351493
36	0.7294911489
37	0.7232114444
38	0.7175301172
39	0.7094675703
40	0.7026640317
41	0.6962618704
42	0.6907585773
43	0.6842006224
44	0.675419953
45	0.6698799738
46	0.6634569027
47	0.6592165256
48	0.6527928353
49	0.6474734956
50	0.6432176724
51	0.6377839489
52	0.633687822
53	0.629124107
54	0.6257478885
55	0.6214142091
56	0.6179700554
57	0.6150758631
58	0.6122547233
59	0.6095790387
60	0.6070479911
61	0.6020207438
62	0.5975540565
63	0.595451046
64	0.5916924156
65	0.5888306224
66	0.586645151
67	0.5825734633
68	0.5787775448
69	0.5765404298
70	0.574325768
71	0.5718155912
72	0.5693715715
73	0.5670151581
74	0.5641661568
75	0.5624902964
76	0.5587653434
77	0.5560520936
78	0.5548744237
79	0.5527432441
80	0.5515787945
81	0.5494385178
82	0.5483941622
83	0.5457923812
84	0.544864397
85	0.5428386382
86	0.5403777116
87	0.5395254927
88	0.5384319565
89	0.5359136163
90	0.5349166672
91	0.5340149555
92	0.5331366045
93	0.5327359044
94	0.5312656654
95	0.5304594809
96	0.5297768761
97	0.5290672071
98	0.5278247348
99	0.526646301
100	0.5259777358
101	0.5257432421
102	0.5251902757
103	0.5241531207
104	0.5235630633
105	0.521750152
106	0.5203234868
107	0.5192679229
108	0.5187303669
109	0.5181680343
110	0.51758316
111	0.5170355234
112	0.5158191985
113	0.5147048515
114	0.5137845002
115	0.5135941085
116	0.5131000457
117	0.512949172
118	0.5126107834
119	0.5119547882
120	0.5116770631
121	0.5113314484
122	0.5101136327
123	0.5097742581
124	0.5093006184
125	0.5085332514
126	0.5074628954
127	0.5060686289
128	0.5056109065
129	0.5053913995
130	0.5050227201
131	0.5042099617
132	0.5033793507
133	0.5031516297
134	0.502685346
135	0.5023790472
136	0.5017069184
137	0.5012940462
138	0.5008585058
139	0.500604253
140	0.5002728264
141	0.5000495799
142	0.4997202468
143	0.4991241592
144	0.4989450423
145	0.4988489477
146	0.4985867943
147	0.4981752058
148	0.4980611865
149	0.4978280926
