iter	Passed	Remaining
0	100	14986
1	128	9522
2	156	7691
3	190	6939
4	229	6659
5	262	6289
6	296	6060
7	328	5833
8	361	5659
9	398	5575
10	437	5531
11	472	5432
12	507	5344
13	540	5255
14	576	5185
15	610	5114
16	645	5047
17	679	4984
18	712	4914
19	746	4850
20	785	4828
21	823	4790
22	866	4784
23	916	4813
24	962	4810
25	1007	4806
26	1046	4768
27	1082	4717
28	1115	4652
29	1155	4620
30	1190	4571
31	1227	4525
32	1263	4478
33	1308	4465
34	1348	4429
35	1387	4394
36	1427	4360
37	1466	4321
38	1518	4322
39	1559	4289
40	1597	4248
41	1631	4195
42	1669	4154
43	1704	4105
44	1736	4050
45	1769	4000
46	1805	3955
47	1837	3904
48	1871	3857
49	1907	3815
50	1940	3767
51	1969	3711
52	2001	3663
53	2042	3630
54	2092	3613
55	2131	3577
56	2198	3587
57	2251	3570
58	2306	3558
59	2362	3543
60	2416	3525
61	2473	3510
62	2550	3521
63	2603	3498
64	2678	3502
65	2733	3478
66	2787	3452
67	2834	3418
68	2875	3375
69	2909	3325
70	2947	3279
71	2984	3233
72	3016	3181
73	3049	3131
74	3083	3083
75	3115	3033
76	3151	2987
77	3186	2940
78	3218	2892
79	3252	2846
80	3286	2799
81	3361	2787
82	3419	2759
83	3461	2719
84	3500	2676
85	3545	2638
86	3575	2589
87	3602	2538
88	3629	2487
89	3656	2437
90	3685	2389
91	3711	2339
92	3736	2290
93	3754	2236
94	3785	2191
95	3815	2146
96	3841	2098
97	3869	2053
98	3897	2007
99	3926	1963
100	3954	1918
101	3969	1868
102	4008	1829
103	4049	1791
104	4080	1748
105	4107	1704
106	4134	1661
107	4161	1618
108	4190	1576
109	4215	1532
110	4241	1490
111	4268	1448
112	4294	1406
113	4322	1365
114	4349	1323
115	4383	1284
116	4414	1244
117	4429	1201
118	4464	1163
119	4502	1125
120	4534	1086
121	4568	1048
122	4601	1010
123	4634	971
124	4667	933
125	4700	895
126	4730	856
127	4763	818
128	4793	780
129	4814	740
130	4863	705
131	4894	667
132	4926	629
133	4954	591
134	4984	553
135	5014	516
136	5041	478
137	5070	440
138	5097	403
139	5133	366
140	5178	330
141	5219	294
142	5249	256
143	5277	219
144	5306	182
145	5329	146
146	5359	109
147	5385	72
148	5418	36
149	5450	0
